Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782221769,50,,Aggregated,3.400000,0.100000,12000,24000,26000,26000,28000,30000,31000,33000,33000,33000,33000,75,1,12000.0,15376.125454660505,1386.8428000132553,32568.941699981224,22634.653333333332
1782221770,50,,Aggregated,3.400000,0.100000,12000,24000,26000,26000,28000,30000,33000,33000,33000,33000,33000,76,1,12000.0,15608.675824993712,1386.8428000132553,33049.95359998429,22338.394736842107
1782221771,50,,Aggregated,3.400000,0.100000,13000,24000,26000,27000,28000,33000,33000,33000,33000,33000,33000,78,1,12000.0,16058.376474352255,1386.8428000132553,33181.56529997941,21768.666666666668
1782221772,50,,Aggregated,3.400000,0.100000,13000,24000,26000,27000,28000,33000,33000,33000,33000,33000,33000,78,1,12000.0,16058.376474352255,1386.8428000132553,33181.56529997941,21768.666666666668
1782221773,50,,Aggregated,3.400000,0.100000,13000,24000,26000,27000,28000,33000,33000,33000,33000,33000,33000,78,1,12000.0,16058.376474352255,1386.8428000132553,33181.56529997941,21768.666666666668
1782221774,50,,Aggregated,3.400000,0.100000,13000,24000,26000,27000,28000,33000,33000,33000,33000,33000,33000,78,1,12000.0,16058.376474352255,1386.8428000132553,33181.56529997941,21768.666666666668
1782221775,50,,Aggregated,3.400000,0.100000,13000,24000,26000,27000,28000,33000,33000,33000,33000,33000,33000,78,1,12000.0,16058.376474352255,1386.8428000132553,33181.56529997941,21768.666666666668
1782221776,50,,Aggregated,3.400000,0.100000,13000,24000,26000,27000,28000,33000,33000,33000,33000,33000,33000,78,1,12000.0,16058.376474352255,1386.8428000132553,33181.56529997941,21768.666666666668
1782221777,50,,Aggregated,3.400000,0.100000,13000,24000,26000,27000,28000,33000,33000,33000,33000,33000,33000,78,1,12000.0,16058.376474352255,1386.8428000132553,33181.56529997941,21768.666666666668
1782221778,50,,Aggregated,0.600000,0.000000,13000,24000,26000,27000,30000,33000,33000,33000,33000,33000,33000,79,1,13000.0,16276.538692397815,1386.8428000132553,33293.19169995142,21493.87341772152
1782221779,50,,Aggregated,0.400000,0.000000,17000,25000,26000,27000,30000,33000,35000,35000,35000,35000,35000,82,1,16000.0,16774.92435731025,1386.8428000132553,35376.358700043056,20711.146341463416
1782221780,50,,Aggregated,0.400000,0.000000,17000,25000,26000,27000,30000,33000,35000,35000,35000,35000,35000,82,1,16000.0,16774.92435731025,1386.8428000132553,35376.358700043056,20711.146341463416
1782221781,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,83,1,17000.0,16991.74929035446,1386.8428000132553,35376.358700043056,20463.048192771083
1782221782,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,83,1,17000.0,16991.74929035446,1386.8428000132553,35376.358700043056,20463.048192771083
1782221783,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,83,1,17000.0,16991.74929035446,1386.8428000132553,35376.358700043056,20463.048192771083
1782221784,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,85,2,17000.0,16852.135770581663,1386.8428000132553,35376.358700043056,19982.964705882354
1782221785,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,85,2,17000.0,16852.135770581663,1386.8428000132553,35376.358700043056,19982.964705882354
1782221786,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,85,2,17000.0,16852.135770581663,1386.8428000132553,35376.358700043056,19982.964705882354
1782221787,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,85,2,17000.0,16852.135770581663,1386.8428000132553,35376.358700043056,19982.964705882354
1782221788,50,,Aggregated,0.500000,0.000000,17000,25000,26000,28000,31000,33000,35000,35000,35000,35000,35000,85,2,17000.0,16852.135770581663,1386.8428000132553,35376.358700043056,19982.964705882354
1782221789,50,,Aggregated,0.700000,0.100000,17000,25000,26000,28000,33000,33000,35000,53000,53000,53000,53000,86,2,17000.0,17277.643136039842,1386.8428000132553,53445.76919998508,19751.302325581397
1782221790,50,,Aggregated,0.700000,0.100000,17000,25000,26000,28000,33000,33000,35000,53000,53000,53000,53000,86,2,17000.0,17277.643136039842,1386.8428000132553,53445.76919998508,19751.302325581397
1782221792,50,,Aggregated,0.700000,0.100000,17000,25000,26000,28000,33000,33000,35000,53000,53000,53000,53000,86,2,17000.0,17277.643136039842,1386.8428000132553,53445.76919998508,19751.302325581397
